pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
566.840457,373.461732,441.847833,410.371210,465.041081,464.833645,385.787120,516.848195,465.318448,515.506893,242.569561,497.705828,NaN,NaN
566.614489,372.656924,442.235782,410.547329,465.284688,464.399403,388.805928,516.348195,465.296583,515.302940,242.500000,497.900000,NaN,NaN
566.162554,372.113254,443.011678,410.575685,465.709460,464.399403,389.010000,515.990000,465.579174,515.302940,243.000000,497.980000,NaN,NaN
565.323603,371.113254,443.093601,410.723447,465.567870,464.270845,389.010000,516.540000,465.861765,515.046362,242.990000,498.070000,NaN,NaN
564.467798,370.264775,443.011678,410.723447,465.926279,464.656517,389.020000,517.030000,465.644355,515.302940,243.010000,498.620000,NaN,NaN
563.563928,369.612371,442.817704,410.547329,465.634233,464.399403,389.010000,517.570000,465.709537,515.302940,243.010000,499.190000,NaN,NaN
562.386026,368.459967,443.205652,410.695091,465.784688,464.270845,389.020000,518.050000,465.984361,514.997782,242.990000,499.240000,NaN,NaN
561.404153,367.628821,443.593601,410.518972,465.926279,464.270845,389.010000,518.060000,466.484361,515.269713,243.000000,499.680000,NaN,NaN
560.314277,366.569538,444.063471,410.547329,466.775823,464.642288,389.030000,519.040000,466.235553,515.497782,243.040000,500.620000,NaN,NaN
559.580488,365.451840,444.839368,410.871210,467.833321,464.785075,389.060000,519.560000,467.233169,515.225852,243.080000,501.650000,NaN,NaN
558.979805,364.215576,446.115264,410.899566,468.682866,464.785075,389.080000,520.000000,467.489128,515.681991,243.110000,502.100000,NaN,NaN
558.724401,363.156294,447.473083,411.223447,469.815592,464.656517,391.120000,519.950000,468.242703,515.410060,244.140000,502.020000,NaN,NaN
558.235208,362.097011,449.024877,411.075685,470.948317,464.913632,393.190000,520.410000,468.996279,515.453921,245.060000,501.970000,NaN,NaN
557.868314,360.802332,450.576670,411.251804,472.505816,464.913632,395.040000,519.990000,470.498662,515.410060,246.270000,501.950000,NaN,NaN
557.379121,359.154558,452.516411,411.927922,474.488086,464.913632,397.820000,520.070000,472.001046,515.453921,247.900000,502.220000,NaN,NaN
556.767630,358.095275,454.813972,412.484635,477.178310,465.556418,400.730000,520.350000,474.510580,515.725852,250.940000,502.200000,NaN,NaN
555.911543,356.565200,456.561680,414.045441,482.614284,466.740414,405.230000,521.430000,478.283224,516.594269,252.640000,503.350000,NaN,NaN
555.138213,355.694416,459.158186,415.771411,487.437234,468.475937,409.440000,522.440000,482.309443,518.006547,255.800000,505.050000,NaN,NaN
553.858448,354.704674,463.441858,417.631540,491.600545,470.669061,414.170000,523.530000,486.077320,519.331103,260.330000,507.180000,NaN,NaN
551.264213,353.769654,468.470517,419.660771,495.810538,472.927788,419.660000,525.260000,489.847581,520.471451,264.300000,509.300000,NaN,NaN
548.311124,352.758597,473.989149,421.690002,501.166653,475.732517,426.470000,526.000000,496.115457,521.699520,270.250000,510.450000,NaN,NaN
545.912202,352.181895,480.576548,423.042823,508.667523,478.517780,435.120000,526.330000,503.900019,523.392494,276.690000,511.530000,NaN,NaN
543.579999,351.429997,487.095180,424.395643,514.845193,480.472211,443.410000,526.080000,510.428622,524.164424,284.010000,512.010000,20.609552,450.332900
541.247796,351.178099,494.917539,425.241156,521.878071,481.776729,451.160000,525.940000,518.710800,524.392494,291.180000,512.170000,28.066570,451.807658
539.177336,351.429997,502.926144,426.255772,531.043085,483.131540,460.010000,526.020000,527.997746,524.392494,300.380000,511.900000,37.266424,453.628740
537.106876,351.178099,511.258109,427.305465,540.742070,483.070198,469.780000,525.270000,538.538267,524.480216,310.320000,511.200000,48.573369,455.192957
534.989443,351.429997,519.315440,427.700906,552.033294,482.215388,479.540000,524.560000,549.306741,524.868706,321.360000,510.470000,58.351212,457.066808
533.418983,351.429997,527.808303,429.084948,563.829353,481.131540,489.430000,523.380000,560.843080,525.628080,333.810000,508.900000,65.770723,458.548144
531.063293,351.678099,538.043291,430.864431,573.373269,480.714839,500.120000,521.750000,571.215781,525.381205,347.200000,506.920000,75.670000,460.140000
529.073052,351.996129,547.189451,432.248474,585.924868,479.134924,514.200000,520.860000,582.703630,525.640579,360.240000,504.890000,85.260000,461.460000
527.487302,352.496129,560.420649,433.437334,598.976466,477.685137,526.980000,519.890000,595.591667,525.457873,373.290000,502.740000,95.410000,463.030000
526.289905,352.923618,568.693716,433.004630,613.028065,476.495605,540.170000,519.020000,610.400677,525.252792,388.640000,500.560000,104.820000,465.100000
525.160695,353.541040,578.586397,431.947918,626.874504,475.545818,553.950000,518.180000,624.468374,524.945193,403.530000,498.710000,114.180000,466.940000
525.005588,353.690313,589.367026,430.891205,639.467063,474.317854,568.410000,516.990000,640.391206,523.099602,418.800000,496.320000,123.760000,469.070000
524.540267,353.839586,598.581470,429.301032,651.631590,472.730453,580.771347,515.275661,653.031156,520.582899,433.360000,493.740000,132.860000,471.140000
524.570377,353.842979,605.211898,427.685863,663.193568,471.483268,591.737254,512.360449,663.615318,518.025356,443.997506,488.355170,141.380000,472.040000
524.283790,353.934915,609.550319,426.384220,667.724714,470.790253,601.949398,508.157949,669.752833,516.036157,448.550000,480.880000,148.010000,471.090000
523.879319,354.342979,610.842327,425.558810,669.149685,467.733303,605.115964,504.468052,672.810038,514.046957,450.570000,476.000000,149.930000,469.090000
523.688260,354.526851,611.738330,425.070694,669.769807,466.607223,603.417884,503.596361,673.123020,511.773586,449.750000,473.760000,148.920000,467.410000
523.424026,354.486532,611.700728,425.245283,668.839625,466.888743,602.210205,504.886925,673.436001,512.057758,447.770000,474.560000,147.070000,466.020000
522.938203,355.226998,611.842327,425.233399,668.529564,467.733303,602.012125,506.049179,672.184075,513.194443,445.630000,477.800000,146.660000,465.900000
522.454586,355.657851,611.625523,425.884220,666.979259,469.422421,600.700606,508.873687,672.310038,514.615300,443.690000,481.900000,146.260000,466.060000
521.729161,356.588704,611.267122,426.697747,666.669198,471.393060,599.181409,510.407632,671.997057,515.467814,442.800000,486.090000,145.890000,466.050000
520.503735,357.821417,609.975114,429.114558,666.359137,471.393060,597.964131,512.232140,671.623020,516.604500,442.030000,489.630000,145.390000,466.550000
519.311075,358.915837,608.220709,432.555138,666.669198,473.363698,596.464131,513.975521,671.810038,517.172842,441.110000,492.860000,144.870000,467.040000
514.716713,362.871962,606.249500,437.099002,666.669198,474.208257,595.454532,514.928338,671.310038,518.309528,440.720000,495.260000,144.780000,467.060000
509.638734,370.551500,604.278292,441.992045,667.599381,475.052817,593.954532,516.300029,671.497057,518.593699,440.180000,496.770000,144.930000,466.950000
506.253414,375.903906,602.127883,446.662963,666.979259,475.052817,593.548773,516.671719,671.497057,519.162042,439.720000,498.180000,144.450000,467.480000
