pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
336.230295,879.561943,137.239397,859.057073,163.401886,785.789709,61.670948,770.048692,146.115747,736.076506,316.338453,676.727648,391.839668,711.477868,605.083596,894.586728,506.179805,922.883770,NaN,NaN
333.701900,883.219086,136.073919,858.495146,163.430000,785.480000,61.980000,769.800000,145.708447,734.984726,316.440000,675.940000,393.420000,711.400000,NaN,NaN,NaN,NaN,NaN,NaN
332.437702,884.844482,134.617071,858.495146,163.450000,784.980000,62.520000,769.110000,145.549126,734.984726,317.500000,675.950000,393.500000,711.470000,NaN,NaN,NaN,NaN,NaN,NaN
329.590000,887.640000,131.994746,857.652256,163.420000,784.490000,63.880000,766.740000,146.389804,733.999191,318.090000,676.070000,394.860000,712.560000,NaN,NaN,NaN,NaN,NaN,NaN
327.200000,890.170000,129.710000,856.690000,163.520000,784.000000,65.180000,764.340000,147.071162,733.670679,319.740000,676.370000,397.100000,714.220000,NaN,NaN,NaN,NaN,NaN,NaN
324.030000,893.310000,129.372420,854.561658,162.130000,782.920000,66.890000,760.810000,148.071162,733.999191,321.850000,677.070000,399.290000,716.220000,NaN,NaN,NaN,NaN,NaN,NaN
321.080000,895.820000,127.624203,852.875877,161.790000,781.500000,68.130000,757.720000,148.752520,732.356632,323.960000,677.770000,399.710000,717.560000,NaN,NaN,NaN,NaN,NaN,NaN
317.730000,899.640000,125.001877,849.504316,160.740000,780.020000,68.760000,754.730000,149.433878,730.385562,322.770000,677.400000,399.630000,718.330000,NaN,NaN,NaN,NaN,NaN,NaN
312.410000,904.230000,122.088182,847.818535,159.240000,778.990000,69.020000,751.510000,148.752520,728.085979,322.020000,676.520000,396.740000,717.440000,NaN,NaN,NaN,NaN,NaN,NaN
307.110000,909.500000,119.757226,844.166010,156.020000,775.410000,69.020000,747.830000,149.071162,725.943421,320.990000,676.260000,395.670000,716.850000,NaN,NaN,NaN,NaN,NaN,NaN
299.829187,916.275732,116.552161,841.356375,153.610000,772.600000,68.870000,742.960000,149.093199,723.158303,320.010000,675.450000,394.750000,716.810000,NaN,NaN,NaN,NaN,NaN,NaN
286.733777,922.890250,112.181619,837.141923,151.770000,770.380000,69.100000,737.620000,147.730483,720.201697,319.020000,674.660000,393.970000,716.940000,NaN,NaN,NaN,NaN,NaN,NaN
267.402457,930.406748,108.685185,833.208435,149.960000,767.990000,70.040000,733.210000,147.049126,717.902115,318.050000,675.080000,392.950000,717.400000,NaN,NaN,NaN,NaN,NaN,NaN
251.189093,937.321926,105.188750,830.679764,148.020000,765.900000,72.220000,728.100000,147.049126,715.602533,317.090000,675.510000,392.040000,718.130000,NaN,NaN,NaN,NaN,NaN,NaN
235.784601,943.338835,101.983686,827.027239,146.240000,764.010000,73.400000,723.620000,146.367768,713.959974,316.250000,675.800000,391.360000,717.960000,NaN,NaN,NaN,NaN,NaN,NaN
217.617045,947.843647,97.613143,824.498568,145.088319,763.702337,74.580000,720.980000,147.389804,712.645927,316.120000,675.980000,390.620000,718.530000,NaN,NaN,NaN,NaN,NaN,NaN
197.711739,952.460010,94.408078,821.407969,143.489571,762.758925,76.120000,718.010000,148.411841,711.331880,316.510000,676.130000,390.990000,719.440000,NaN,NaN,NaN,NaN,NaN,NaN
180.076073,958.392273,93.533970,818.598335,143.788945,761.892879,77.287796,714.971518,148.071162,710.346344,317.030000,675.990000,392.650000,719.470000,NaN,NaN,NaN,NaN,NaN,NaN
167.772120,968.674862,92.077122,817.474481,144.085190,761.315514,78.340106,714.717836,148.411841,709.689321,318.010000,675.100000,394.020000,717.590000,NaN,NaN,NaN,NaN,NaN,NaN
163.670803,974.607125,92.951231,816.069664,144.983313,759.872103,79.392416,713.703109,148.752520,709.360809,319.000000,673.420000,395.040000,715.650000,NaN,NaN,NaN,NaN,NaN,NaN
158.749222,980.539388,93.242600,816.631591,146.180810,759.294738,80.444725,712.688381,147.389804,708.375274,319.000000,671.410000,395.610000,713.490000,NaN,NaN,NaN,NaN,NaN,NaN
