pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
657.106953,309.036941,515.429063,313.952969,511.338418,374.862877,419.04,419.97,508.53,418.98,NaN,NaN,549.54,425,318.03,427.98,2.760086,442.615302,NaN,NaN
656.687837,308.653453,514.429063,313.952969,512.81914,375.056427,419.02,419.99,509.54,418.99,NaN,NaN,551.04,424.99,320.53,426.93,3.433278,442.888728,NaN,NaN
655.559163,308.803917,513.341051,315.089714,514.934458,375.637077,419.56,419.99,511.05,419,NaN,NaN,551.58,425,321.05,426.46,7.135836,442.615302,NaN,NaN
653.544467,307.502989,511.75304,316.226459,517.47284,376.604827,420.06,419.5,513.493787,419.173663,NaN,NaN,554.05,424.99,321.6,426.51,9.828606,442.341877,NaN,NaN
650.305517,309.070892,510.720851,317.789931,519.934285,377.685477,420.53,420,516.03,419.48,NaN,NaN,557.07,425.01,323.58,426.58,11.848183,441.248175,NaN,NaN
647.838611,309.612173,510.720851,318.603067,523.030326,378.653226,423.02,420.02,518.87172,420.632603,NaN,NaN,561.07,425.52,328.06,427.52,15.714145,440.427898,NaN,NaN
646.838611,309.420429,510.187643,320.229339,526.107089,380.008076,428.01,421.99,521.832904,421.883123,NaN,NaN,564.57,427.02,331.03,428.56,20.680285,439.344474,NaN,NaN
645.78,309.08,510.365379,322.831374,531.857002,381.637126,431.49,423.5,526.160787,423.342063,NaN,NaN,568.02,430.51,336.94,430.07,25.72,437.84,NaN,NaN
645.01,308.39,510.720851,325.758664,536.77136,383.973708,433.5,426,530.260887,425.426263,NaN,NaN,573.04,433.09,341.21,431.93,31.3,436.95,NaN,NaN
643.87,308.4,511.609532,328.360699,542.22206,386.395225,440.01,429,535.955471,428.760982,NaN,NaN,577.34,435.43,345.54,434.26,36.1,436.39,NaN,NaN
643.02,308.62,513.178871,330.538244,546.230847,389.301387,445.02,431.5,541.877838,431.887282,NaN,NaN,581.97,437.97,350.97,436.6,40.86,435.91,NaN,NaN
642.15,308.75,516.354895,336.350318,552.571989,392.713074,450.01,434.5,547.572421,434.805162,NaN,NaN,587.02,440.79,357.45,439.91,45.95,436.47,NaN,NaN
641.23,308.83,518.470985,342.366095,557.82944,394.998463,460.01,437.5,554.405921,436.889362,NaN,NaN,591.82,443.41,361.62,441.88,49.95,436.44,NaN,NaN
640.25,308.87,521.591202,347.481258,563.56994,397.812309,463.51,437.99,560.828288,438.765142,NaN,NaN,596.27,445.15,366.36,443.86,54.8,436.74,NaN,NaN
639.85,308.92,525.101446,351.644763,569.515457,399.313027,467.52,440.5,567.054815,440.225929,NaN,NaN,601.22,446.8,370.73,445.22,59.88,436.56,NaN,NaN
639.47,308.95,528.481681,354.856609,575.665993,400.438565,471,442.53,573.13221,441.803568,NaN,NaN,605.68,448.11,371.01,445.5,66.64,436.29,NaN,NaN
638.95,308.96,533.292016,358.544285,582.021546,401.188924,478.02,443,579.497435,442.806671,NaN,NaN,610.93,449.14,376.52,444.99,71.73,435.89,NaN,NaN
638.56,308.98,537.712324,360.685515,588.220933,401.776411,483.5,442.99,585.573095,443.769403,NaN,NaN,616.01,450.12,383.55,444.01,76.59,435.98,NaN,NaN
638.63,308.98,543.040872,362.777637,591.831023,402.511802,487.51,443.5,590.4131,444.424682,NaN,NaN,620.86,450.98,390.09,445.38,80.41,435.82,NaN,NaN
638.99,308.99,547.544137,364.761558,595.322986,402.732304,492.51,444.51,594.019326,444.577263,NaN,NaN,625.01,451.99,391.89,446.04,84.33,435.94,NaN,NaN
639,309.01,551.713827,366.440261,598.926206,402.402612,494.5,445,597.233754,445.41496,NaN,NaN,628.53,452.52,397.55,445.5,89.22,435.99,NaN,NaN
639,308.96,555.883517,367.508527,602.716287,402.891887,498.5,445.51,600.994333,445.905631,NaN,NaN,632.54,453.51,402.06,446.51,94.36,435.91,NaN,NaN
