pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
583.032493,544.061515,408.602770,471.424708,427.545262,408.617669,333.961917,395.873942,417.846589,366.279728,592.015580,309.830448,676.289458,353.986235,754.539843,521.796887,692.754545,532.494546,478.186818,554.528505,480.628589,558.725880,NaN,NaN
582.470000,544.520000,403.760000,470.050000,427.890000,407.860000,336.010000,394.450000,418.020000,365.950000,592.610000,309.640000,677.400000,353.750000,NaN,NaN,NaN,NaN,478.836185,553.928880,481.100000,559.080000,NaN,NaN
579.260000,546.860000,400.810000,467.890000,427.880000,407.900000,337.540000,393.350000,418.500000,364.840000,594.310000,308.350000,678.540000,352.590000,NaN,NaN,NaN,NaN,478.836185,554.678411,480.860000,559.220000,NaN,NaN
575.700000,547.690000,399.017420,467.228529,428.300000,407.090000,340.060000,391.060000,419.490000,364.320000,595.940000,307.170000,680.630000,351.490000,NaN,NaN,NaN,NaN,478.186818,555.128130,480.340000,559.880000,NaN,NaN
571.750000,548.870000,396.913318,465.130440,429.540000,406.740000,343.120000,389.170000,420.720000,363.570000,599.260000,306.840000,683.440000,350.290000,NaN,NaN,NaN,NaN,480.277956,557.826442,481.460000,561.800000,NaN,NaN
567.520000,549.450000,395.276795,463.498592,431.790000,406.600000,345.420000,388.050000,422.730000,362.570000,602.140000,306.090000,685.600000,349.120000,NaN,NaN,NaN,NaN,480.732387,558.676536,481.323525,561.873911,NaN,NaN
564.050000,549.930000,395.744373,460.234897,434.710000,404.980000,348.540000,386.570000,425.180000,360.580000,605.260000,304.930000,689.290000,347.970000,NaN,NaN,NaN,NaN,481.622259,559.775223,481.271626,563.372973,NaN,NaN
560.640000,550.930000,395.276795,457.403687,437.940000,403.260000,352.190000,385.350000,428.560000,359.060000,609.550000,304.120000,692.780000,347.100000,NaN,NaN,NaN,NaN,487.447572,543.285537,485.356434,546.583474,NaN,NaN
557.770000,551.460000,397.380896,454.139992,442.450000,401.270000,356.110000,384.190000,433.190000,357.360000,615.000000,303.430000,697.320000,346.880000,NaN,NaN,NaN,NaN,487.447572,543.285537,484.810865,546.384225,NaN,NaN
555.080000,552.280000,399.751209,450.643176,447.130000,399.380000,359.700000,382.480000,437.490000,355.670000,620.100000,302.510000,702.090000,346.610000,NaN,NaN,NaN,NaN,487.895673,542.835818,483.564030,547.333006,NaN,NaN
553.790000,552.160000,403.258044,446.680118,451.770000,396.870000,364.190000,380.730000,442.000000,354.240000,625.140000,301.310000,707.710000,345.720000,NaN,NaN,NaN,NaN,489.090609,542.536006,482.966562,547.632818,NaN,NaN
552.250000,553.290000,405.797302,444.149544,456.980000,392.780000,368.800000,378.800000,447.680000,351.120000,631.130000,298.450000,713.350000,344.330000,NaN,NaN,NaN,NaN,489.837444,541.936381,483.109599,547.832068,NaN,NaN
550.560000,553.220000,410.005504,439.953364,462.120000,389.960000,374.250000,376.030000,453.331683,348.280059,636.840000,295.280000,719.320000,341.790000,NaN,NaN,NaN,NaN,496.857694,527.545382,490.285545,536.689663,NaN,NaN
550.120000,553.170000,413.979918,435.723427,468.100000,386.150000,380.870000,372.290000,458.522113,344.446898,642.930000,292.490000,725.880000,338.610000,NaN,NaN,NaN,NaN,497.753896,523.198101,493.272886,533.241819,NaN,NaN
549.170000,553.180000,418.188120,432.226611,473.760000,382.760000,386.380000,369.390000,464.104273,341.498312,649.010000,289.260000,731.880000,336.240000,NaN,NaN,NaN,NaN,504.027310,517.501664,499.994401,526.795851,NaN,NaN
548.720000,553.610000,423.799057,428.962917,480.140000,379.820000,392.950000,366.580000,470.469895,338.254868,655.130000,287.570000,738.090000,333.950000,NaN,NaN,NaN,NaN,509.255155,517.351758,506.267815,524.847070,NaN,NaN
548.290000,553.610000,429.310000,425.960000,486.000000,376.480000,398.450000,364.210000,477.129314,334.814851,661.180000,285.250000,744.280000,331.930000,NaN,NaN,NaN,NaN,509.255155,519.000726,504.624778,526.945757,NaN,NaN
547.920000,553.530000,434.787142,422.469285,492.090000,373.620000,403.460000,361.400000,483.173728,332.123444,667.620000,282.340000,750.270000,329.710000,NaN,NaN,NaN,NaN,518.067809,518.401101,514.333634,524.847070,NaN,NaN
547.950000,553.520000,440.898079,419.671832,498.230000,371.170000,409.010000,359.050000,491.056403,329.407683,674.250000,279.720000,756.850000,327.860000,NaN,NaN,NaN,NaN,518.366543,517.501664,509.553889,525.746507,NaN,NaN
547.950000,553.010000,447.224161,417.157304,505.750000,369.010000,414.270000,357.130000,498.350819,327.046151,681.450000,278.100000,763.390000,326.210000,NaN,NaN,NaN,NaN,531.562739,512.904852,525.386792,525.446695,NaN,NaN
547.470000,553.500000,453.689622,414.542057,512.300000,367.140000,420.570000,355.250000,506.704101,324.684618,688.070000,276.140000,769.790000,324.660000,NaN,NaN,NaN,NaN,540.284832,514.505578,537.186786,523.348007,NaN,NaN
547.960000,552.980000,459.440000,412.770000,519.080000,365.160000,427.520000,353.150000,512.586694,322.913469,694.640000,274.120000,776.040000,323.140000,NaN,NaN,NaN,NaN,549.868147,510.955135,547.347468,520.180500,NaN,NaN
547.980000,552.990000,464.930000,411.500000,525.260000,363.770000,434.430000,351.030000,518.752589,320.939157,701.070000,272.960000,781.930000,321.810000,NaN,NaN,NaN,NaN,557.808283,511.207885,555.515919,516.764978,NaN,NaN
548.090000,553.080000,471.320000,410.320000,530.740000,362.460000,440.290000,349.530000,524.470000,319.350000,707.230000,271.770000,787.840000,320.310000,NaN,NaN,NaN,NaN,565.889864,505.351117,565.496352,511.839759,NaN,NaN
548.100000,553.090000,477.390000,408.910000,536.840000,360.230000,445.840000,348.250000,530.320000,318.000000,712.730000,270.400000,793.340000,318.640000,NaN,NaN,NaN,NaN,572.332599,505.506784,572.680285,511.207885,NaN,NaN
547.440000,553.430000,484.030000,408.350000,542.830000,358.930000,451.140000,346.270000,536.920000,316.090000,717.730000,268.250000,798.240000,317.070000,NaN,NaN,NaN,NaN,579.347410,504.353478,581.901702,509.081851,NaN,NaN
548.160000,553.270000,489.900000,407.260000,549.360000,357.190000,456.910000,344.850000,543.953837,313.981377,723.190000,266.200000,803.700000,315.010000,NaN,NaN,NaN,NaN,587.206770,502.284815,591.725903,506.914680,NaN,NaN
548.220000,553.210000,496.530000,406.820000,555.210000,355.740000,463.440000,343.910000,549.314212,312.779154,727.890000,264.000000,809.250000,312.810000,NaN,NaN,NaN,NaN,602.173542,501.918253,605.441863,505.109721,NaN,NaN
