"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
480.546879	734.215575	383.436921	746.243347	387.060546	782.935016	0	0	0	0	331.217457	799.987241	385.554541	806.410916
480.94	733.95	383.606093	745.653258	388.071721	781.899205	0	0	0	0	333.276201	799.128338	386.21	805.98
480.36	734.02	384.275264	744.785937	389.082895	781.623955	0	0	0	0	335.592288	799.128338	387.22	805.46
479.94	734.03	384.459946	744.285937	390.671884	781.623955	0	0	0	0	338.165718	799.128338	388.85	805.47
479.32	734.01	384.459946	743.641383	392.694232	780.385332	0	0	0	0	340.86782	798.392135	391.55	804.85
479.04	734.03	384.3138	743.563169	393.994314	779.284334	0	0	0	0	343.569922	797.910532	392.78	804.13
478.41	733.84	385.044532	743.707722	397.172291	778.320961	0	0	0	0	346.97	797.7	395.59	803.45
477.4	733.89	385.713704	745.297812	401.729112	778.578097	0	0	0	0	350.52	797.64	399.72	803.49
476.98	733.28	386.590582	747.622544	405.787284	779.093608	0	0	0	0	355.07	797.67	403.21	803.77
476.99	732.73	388.698193	749.435401	410.116001	779.093608	0	0	0	0	359.25	798.05	407.21	803.79
476.91	732.9	391.32883	751.736383	415.391624	779.866874	0	0	0	0	363.07	798.38	412.6	804.21
476.75	732.9	394.397905	753.971026	419.585069	779.995752	0	0	0	0	368.23	798.82	416.51	804.16
475.88	732.75	397.450181	756.51033	424.590148	780.253508	0	0	0	0	373.36	799.78	421.31	804.19
474.44	732.62	402.390413	758.345421	429.324682	780.769018	0	0	0	0	378.27	800.04	426.14	804.09
472.44	731.6	406.848672	760.983363	435.682485	781.928918	0	0	0	0	383.85	800.26	432.42	804.8
470.88	731.63	412.99384	763.735999	441.228654	781.928918	0	0	0	0	390.4	800.89	438.19	805.59
469.78	731.71	418.657033	767.062101	448.541244	782.082884	0	0	0	0	397.02	802.13	444.71	806.47
469.13	731.68	426.007136	769.92943	456.281442	782.718599	0	0	0	0	404.45	803.02	453.44	807.24
468.19	731.92	435.16464	772.1086	466.290318	783.6086	0	0	0	0	413.19	804.09	462.73	807.81
467.3	731.9	445.406586	776.925712	475.498485	784.117173	0	0	0	0	422.94	804.72	471.13	808.63
466.15	731.96	457.234948	778.654611	485.240458	783.990029	0	0	0	0	433.32	805.63	480.93	809.12
464.820835	732.133457	471.856165	780.917599	496.4504	784.371459	0	0	0	0	444.22	806.2	491.91024	809.628433
461.925672	731.323464	484.21882	782.162243	506.275725	784.644165	0	0	0	0	455.17	806.06	503.53	810.23
459.449882	729.816507	493.490811	782.84114	514.57002	784.769597	0	0	0	0	464.94	806.18	511.68	810.89
456.593201	728.12118	501.102589	784.12227	519.572928	785.396755	0	0	0	0	470.96	806.61	516.39	811.75
454.403079	726.425852	502.967041	785.181444	522.074382	785.522187	0	0	0	0	473.83	806.1	518.43	811.99
451.879516	724.918895	503.436128	785.032609	523.522592	785.647619	0	0	0	0	474.35	805.86	520.22	812.46
450.022512	724.730525	502.810679	784.883774	523.522592	785.02046	0	0	0	0	474.62	804.93	520.1	812
448.689394	724.63634	501.403418	785.330279	524.312525	784.518733	0	0	0	0	475.06	804.93	520.08	811.5
446.213604	724.071231	498.901621	785.62795	524.707491	784.267869	0	0	0	0	475.05	805.01	520.54	810.99
441.881133	722.187534	497.181636	785.62795	524.575836	783.766142	0	0	0	0	475.01	805.02	521.05	810.48
436.691658	719.456174	495.930738	785.925621	524.44418	783.515279	0	0	0	0	475	805.02	521.06	809.99
434.906328	710.214284	494.986606	785.763805	524.575836	784.017006	0	0	0	0	475.08	805.52	521.05	810.54
439.990606	702.771566	495.501292	785.51885	524.44418	784.393301	0	0	0	0	475.54	806.07	521.04	811.06
453.352428	697.675383	495.115277	785.51885	524.180869	784.393301	0	0	0	0	476.05	806.1	521.03	811.56
467.84798	693.360633	495.629963	785.51885	524.180869	784.518733	0	0	0	0	476.1	806.01	520.56	812
482.894064	689.744423	496.015978	784.783985	524.312525	784.769597	0	0	0	0	476.56	805.99	520.55	811.98
498.924471	688.075403	495.758635	784.04912	523.94418	784.895028	0	0	0	0	477.07	805.94	520.58	811.96
513.689321	688.353573	495.501292	782.946823	523.917559	784.767869	0	0	0	0	477.14	805.44	520.58	811.99
527.000927	689.863204	496.144649	780.374795	523.890937	785.018733	0	0	0	0	477.1	805.54	520.57	812.04
539.164007	692.388126	497.174021	778.1702	524.707491	785.773051	0	0	0	0	477.1	806.1	521.62	812.6
554.029994	697.437971	498.074722	773.883487	525.497424	786.651073	0	0	0	0	477.06	806.15	522.57	813.06
571.298564	703.378964	501.806195	768.494477	526.155702	787.027368	0	0	0	0	477.61	806	523.19	813.52
589.16778	713.181604	506.847084	762.770971	526.682324	786.400209	0	0	0	0	478.13	805.9	523.68	812.97
606.136028	725.509166	512.834211	759.054285	526.945634	786.149346	0	0	0	0	478.21	805.94	524.13	812.45
621.152176	736.05443	525.19893	752.612029	529.710399	785.522187	0	0	0	0	478.17	806.01	527.31	812.02
629.71138	742.886573	532.487607	750.629797	532.080198	785.898482	0	0	0	0	478.18	806.06	529.68	812.55
633.014933	745.56002	537.823959	750.382017	534.318341	786.149346	0	0	0	0	478.76	806.01	531.81	812.99
