"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
222.881791	729.042226	23.77124	605.444325	43.76307	511.097393	0	0	0	0	-62.696194	452.377472	38.969879	447.863522
221.564853	730.061961	24.745523	604.562729	45.056574	507.967576	0	0	0	0	-62.192935	452.839535	39.998313	447.466714
219.747915	730.552093	26.014662	603.43553	46.526702	506.063721	0	0	0	0	-61.262935	452.849535	41.26253	446.501111
218.339446	731.071828	26.399232	602.994732	47.026702	505.926703	0	0	0	0	-60.372935	452.899535	41.609686	445.76831
217.022509	732.091563	26.783802	602.62193	47.966957	505.789685	0	0	0	0	-58.582935	452.839535	42.26253	445.76831
215.61404	733.111298	27.078658	601.681132	48.790333	505.789685	0	0	0	0	-57.122935	452.679535	42.109686	445.302707
214.705571	734.131033	27.078658	600.740334	49.583836	505.700739	0	0	0	0	-55.452935	452.689535	43.22106	444.802707
213.388633	735.150767	27.194089	598.41794	50.599582	505.529556	0	0	0	0	-54.102935	452.939535	43.007768	444.819158
212.888633	736.170502	27.104376	596.536343	52.282369	504.917024	0	0	0	0	-52.932935	453.179535	44.313455	444.307692
211.980165	737.700105	26.809519	594.968346	53.373762	504.917024	0	0	0	0	-51.862935	453.559535	46.183912	443.830623
211.078874	739.155022	27.604376	594.968346	54.419459	504.917024	0	0	0	0	-50.512935	454.009535	48.424828	442.807692
210.033146	740.437559	27.899232	594.841148	55.556549	504.917024	0	0	0	0	-49.042935	453.859535	50.489599	441.819158
209.13884	741.002634	29.469905	594.66392	56.647943	504.304492	0	0	0	0	-48.092935	453.349535	52.82372	440.92235
207.744535	741.893903	31.395831	593.938856	57.739336	504.917024	0	0	0	0	-47.102935	453.009535	54.629407	439.433815
206.047383	742.285171	33.386077	592.773151	59.83073	504.304492	0	0	0	0	-45.572935	453.319535	57.870322	437.945281
203.955925	742.785171	35.450073	592.459551	62.059214	503.191961	0	0	0	0	-43.522935	453.559535	60.046467	437.456747
202.713043	743.17644	38.006942	590.988729	63.742001	502.579429	0	0	0	0	-41.492935	454.199535	62.287383	436.479678
200.818738	743.458978	40.377313	589.988729	66.076005	502.022849	0	0	0	0	-38.542935	453.549535	65.269214	435.514076
199.575857	743.958978	42.551047	589.660723	69.309764	501.659867	0	0	0	0	-36.062935	452.899535	67.880588	435.048473
198.36658	744.047507	44.526356	589.660723	72.866899	501.433903	0	0	0	0	-33.102935	451.999535	70.556732	434.025542
197.437043	744.047507	46.106602	589.252368	76.747409	501.296885	0	0	0	0	-29.522935	451.129535	73.214708	432.571405
195.577969	744.569198	47.291788	589.344014	80.304543	501.296885	0	0	0	0	-25.502935	450.039535	75.955624	432.08287
194.183664	744.830044	49.662158	589.344014	84.50843	500.659867	0	0	0	0	-20.572935	448.989535	79.631769	431.594336
192.789359	745.873427	52.822652	588.527305	88.152571	500.296885	0	0	0	0	-16.032935	447.769535	84.548829	431.105802
191.395054	746.655964	55.588084	588.527305	93.88633	498.433903	0	0	0	0	-11.112935	446.259535	89.206805	430.117268
189.768364	746.895119	59.14364	588.435659	101.349438	497.204114	0	0	0	0	-5.542935	443.359535	95.670468	428.174597
189.606443	746.677656	65.069565	587.61895	107.595773	495.564684	0	0	0	0	1.157065	440.549535	103.634131	425.731926
187.212138	746.677656	70.897316	586.739135	115.890361	494.564684	0	0	0	0	8.997065	438.589535	111.727336	423.277789
186.282601	747.177656	78.789639	585.832704	125.461702	492.738473	0	0	0	0	16.63682	435.526876	121.496685	421.358049
186.317833	746.938502	88.483146	585.077177	137.390157	490.854332	0	0	0	0	27.005059	433.689281	132.747867	419.369515
184.317833	747.91681	100.212758	583.253764	151.15789	489.912262	0	0	0	0	39.556084	432.464217	145.351337	416.93831
182.261607	748.481885	110.482006	581.753764	164.666706	488.970192	0	0	0	0	51.058749	429.901558	159.537747	415.961241
179.730875	748.752077	124.512802	580.847333	178.434439	490.796403	0	0	0	0	63.75	429.01	173.141217	415.995639
177.150918	750.0373	139.735911	582.20698	193.202172	492.738473	0	0	0	0	76.75	430.12	188.003772	416.93831
174.864671	751.501217	156.835944	585.832704	210.40738	496.506754	0	0	0	0	92.21	432.44	204.866326	420.380981
172.788446	751.822523	177.443676	592.177721	227.612588	501.217105	0	0	0	0	110.450968	437.977003	221.145941	424.789255
173.357209	752.822523	195.859096	601.242031	244.583306	509.124177	0	0	0	0	127.92	446.29	239.042625	431.292554
172.71222	753.286441	215.589903	613.025633	262.873283	517.689704	0	0	0	0	147.147078	456.352957	257.404301	440.043355
171.280984	752.786441	235.7876	627.187971	281.134146	531.594958	0	0	0	0	163.792162	470.441187	271.974069	453.439439
167.849747	752.786441	249.680435	638.610931	295.566932	543.945684	0	0	0	0	172.127803	482.091951	285.901394	465.598513
164.418511	754.429052	256.311106	643.180115	301.339553	549.164531	0	0	0	0	175.038186	491.075751	293.638798	469.941039
161.91478	754.750358	259.837076	646.270188	302.614296	551.456734	0	0	0	0	176.12958	495.56765	296.276537	470.039572
161.91478	754.429052	260.048148	648.227806	301.072202	553.290496	0	0	0	0	176.857176	499.651196	295.894874	469.96798
160.201027	754.571664	258.813514	649.134228	299.346945	553.790496	0	0	0	0	176.12958	502.918032	294.368222	469.111164
159.079413	754.720492	258.005067	649.134228	297.304851	554.665818	0	0	0	0	174.174388	505.184868	293.986559	470.396388
159.197297	754.89297	257.735585	649.134228	295.671175	554.248936	0	0	0	0	172.127803	506.184868	292.078244	470.396388
156.911049	755.714276	257.466103	649.412778	294.854338	554.665818	0	0	0	0	170.672612	506.593222	290.933255	471.181611
156.552308	755.035581	256.388173	649.412778	294.445919	553.748936	0	0	0	0	168.853623	506.184868	290.933255	470.324795
155.693566	755.214276	254.232315	648.298579	293.220662	554.207377	0	0	0	0	168.126027	506.184868	290.051592	469.46798
154.907318	755.678193	252.076457	645.791632	291.995406	553.332055	0	0	0	0	167.398431	506.593222	289.406603	470.253203
154.407318	755.678193	250.19008	642.727586	291.178568	552.373615	0	0	0	0	166.670836	506.184868	289.02494	469.896388
153.907318	755.678193	248.034222	639.10644	290.270149	551.998293	0	0	0	0	165.715644	506.684868	289.02494	469.539572
148.334824	756.035581	246.147846	636.042393	289.953311	550.998293	0	0	0	0	164.851846	507.184868	289.906603	469.896388
130.507537	752.465135	244.530952	633.813996	289.544893	551.539853	0	0	0	0	164.488049	507.001577	289.788266	469.111164
121.471353	726.91566	243.453023	632.142698	288.728055	550.539853	0	0	0	0	163.760453	507.409931	289.02494	468.682757
131.467171	687.4385	242.105611	630.74995	288.319636	550.998293	0	0	0	0	162.669059	507.818286	289.288266	468.682757
143.345425	654.853807	241.027682	628.800102	287.502798	550.998293	0	0	0	0	161.305262	507.909931	288.551592	468.611164
148.934653	629.147902	239.410788	627.128804	287.094379	551.456734	0	0	0	0	160.258677	508.226641	288.788266	468.254349
154.711406	616.549612	238.641306	626.014605	285.869123	551.915174	0	0	0	0	159.031081	508.409931	287.669929	468.754349
162.153288	608.481236	237.25493	624.900406	284.643866	551.956734	0	0	0	0	158.667283	507.818286	286.551592	468.469126
172.067264	600.002603	236.715965	624.064757	283.41861	552.373615	0	0	0	0	157.939687	508.226641	286.551592	468.11231
198.738673	588.009981	235.946483	623.286208	282.193353	551.956734	0	0	0	0	157.575889	507.818286	286.551592	468.397533
229.424732	575.319947	236.446483	622.786208	281.784934	551.915174	0	0	0	0	156.984496	507.909931	286.898702	467.990441
256.342327	566.859924	238.063377	623.564757	281.693353	552.373615	0	0	0	0	156.848294	507.818286	287.188249	467.665431
284.336625	560.817051	239.680271	624.678956	281.284934	551.415174	0	0	0	0	156.120698	508.226641	286.609155	467.665431
317.176091	563.2342	243.378364	625.628804	282.839568	550.412576	0	0	0	0	155.393102	508.226641	287.12257	467.665431
355.937428	565.047062	251.806974	628.243002	284.91861	549.998293	0	0	0	0	154.665507	508.226641	287.62257	467.665431
394.698764	569.277073	258.813514	629.914301	286.327029	549.956734	0	0	0	0	153.937911	508.226641	288.056891	467.340421
430.31343	576.046177	269.592806	631.864148	286.960704	550.039853	0	0	0	0	153.210315	507.818286	288.491212	467.515411
468.63347	594.013775	280.641581	634.649645	287.185961	549.956734	0	0	0	0	153.937911	507.818286	289.070307	467.177916
496.767171	621.781883	290.342944	637.435142	287.411217	549.915174	0	0	0	0	154.710315	507.726641	289.583723	467.027896
516.654787	666.428643	299.774824	640.499188	287.526075	550.578656	0	0	0	0	154.437911	506.684868	290.083723	466.852906
521.990488	677.86257	308.128775	642.449036	287.79052	550.826095	0	0	0	0	155.7569	505.368159	290.662818	466.852906
