"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
519.54839	358.23665	407.124762	405.429301	426.037851	478.077923	0	0	0	0	321.09	519.05	424.62	518.98
519.44	358.63	406.048971	405.881565	426.617226	478.277349	0	0	0	0	321.61	519.07	425.11	519
519.49	357.68	405.692905	406.187967	427.428352	478.375626	0	0	0	0	322.09	518.98	425.806416	519.346515
518.58	359.06	403.200441	407.719978	428.702978	478.875626	0	0	0	0	324.15	518.95	426.752832	519.46286
518.03	359.86	401.564044	409.751988	429.977604	478.975339	0	0	0	0	325.67	519.02	427.740058	519.660926
516.92	360.42	401.064044	411.396804	431.733146	478.83553	0	0	0	0	328.27	519.01	429.997689	519.893615
516.38	361.15	401.207978	413.541619	435.47225	478.634431	0	0	0	0	331.62	519.03	434.188963	520.009959
514.97	362.38	401.776176	415.07363	439.178742	478.433333	0	0	0	0	335.06	519.03	437.826653	520.009959
514.48	363.32	401.776176	417.218445	443.950458	477.830038	0	0	0	0	339.4	518.91	443.056422	520.006455
514.01	363.91	403.056508	419.476064	447.689562	477.427841	0	0	0	0	343.34	518.88	447.885708	519.996904
513.63	364.46	405.26864	420.476064	452.184992	476.797602	0	0	0	0	347.33	518.71	452.974816	519.614741
513.33	365.2	407.61717	421.395271	458.196332	475.857078	0	0	0	0	352.34	518.01	459.044281	519.095639
512.66	366.07	409.253568	422.120879	464.847129	474.946293	0	0	0	0	357.64	517.26	465.288428	518.220321
512.13	366.24	411.389965	422.927281	470.94577	473.565246	0	0	0	0	362.27	516.57	471.542513	517.475695
510.28	366.69	414.738495	424.040086	476.730353	472.594984	0	0	0	0	367.33	515.49	478.080875	516.374879
509.76	367.6	418.867356	424.765694	483.92804	471.537504	0	0	0	0	374.62	514.51	484.829929	515.274063
509.02	368.07	424.564416	425.572097	492.873604	470.712735	0	0	0	0	382.64	513.96	493.045663	514.218213
508.43	367.64	430.617543	426.184901	499.582777	469.937813	0	0	0	0	389.81	513.19	500.909279	513.192749
508.38	367.45	435.958537	426.797705	507.062277	468.853691	0	0	0	0	396.79	512.66	507.712295	512.023253
508.37	367.5	442.867729	427.41051	514.090935	467.437282	0	0	0	0	404.63	513.04	515.106219	510.997789
507.94	367.92	450.557253	427.329716	523.31344	465.907837	0	0	0	0	412.94	513.58	523.969835	509.472326
507.94	367.99	458.034644	426.716912	531.531579	464.407742	0	0	0	0	420.5	513.42	533.03042	507.946862
507.88	367.91	465.868102	426.104107	540.745855	462.621947	0	0	0	0	428.31	512.89	541.894036	506.590894
506.96	368.5	474.057626	425.184901	549.711097	460.978955	0	0	0	0	435.83	512.36	550.954622	505.404422
506.44	368.62	481.678951	424.346488	557.676339	459.264562	0	0	0	0	443.92	511.2	560.106115	503.71795
505.9	369	490.436673	423.346488	565.54791	457.31137	0	0	0	0	452.09	509.75	568.677104	502.345799
505.99	369.16	501.562178	422.591473	571.721713	455.581537	0	0	0	0	460.21	508.57	575.011861	501.128524
505.35	369.41	513.496812	421.397288	577.892938	453.866312	0	0	0	0	468.15	507.38	581.958002	499.21579
504.82	369.5	525.708995	420.680776	583.489878	452.258699	0	0	0	0	476.83	504.96	587.070605	497.803056
504.43	369.76	534.868132	420.203102	586.799674	451.942239	0	0	0	0	485.98	502.09	590.793981	496.868506
503.96	370.17	542.917071	420.441939	590.293348	451.284008	0	0	0	0	494.93	498.87	594.516745	495.890322
503.112023	370.70836	548.468063	420.636125	595.390288	450.442239	0	0	0	0	502.97	496.24	597.573047	494.912139
502.126654	371.515369	551.521109	420.636125	600.935594	449.834626	0	0	0	0	509.39	494.16	603.074268	493.477588
501.396122	372.144007	555.406804	420.613799	607.210085	448.935862	0	0	0	0	513.67	493.31	608.742563	492.521222
500.300986	372.595514	557.072101	422.83031	611.255392	448.48648	0	0	0	0	517.68	493.66	612.465328	491.564855
499.333696	373.171772	558.1823	426.890539	614.749066	448.011789	0	0	0	0	519.63	495.34	615.688703	491.325763
498.366407	374.055944	558.737399	431.189605	616.308304	449.152813	0	0	0	0	521.57	495.9	617.189314	491.564855
496.82471	374.272488	558.737399	435.010998	617.813275	449.762862	0	0	0	0	522.1	496.62	618.856387	491.78213
495.009818	374.78606	560.125147	438.83239	618.673258	450.687902	0	0	0	0	522.14	497.09	619.523461	492.738497
492.503823	374.854768	560.680246	441.698434	619.318245	451.242927	0	0	0	0	523.12	498.07	620.412689	493.477588
489.329563	374.279712	562.345544	443.131456	619.53324	451.242927	0	0	0	0	524.67	498.02	620.746226	493.71668
485.319972	372.985837	563.733292	442.414945	619.963232	451.427935	0	0	0	0	526.1	497.97	621.412078	493.71668
483.146911	369.747976	564.288391	441.22076	619.963232	451.242927	0	0	0	0	526.11	497.94	621.412078	493.71668
482.479845	366.297642	565.39859	440.026575	620.823215	451.242927	0	0	0	0	526.09	497.95	621.745615	493.71668
482.981044	362.272252	566.508788	438.115879	621.468202	451.057919	0	0	0	0	527.08	497.92	622.023461	493.238497
