"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
301.278986	614.05747	123.024619	472.582636	144.472723	390.956671	0	0	0	0	28.26	351	141.13	325.07
302.240842	614.352972	123.779624	472.336537	145.773611	390.673989	0	0	0	0	29.06	350.89	142.08	324.87
301.240842	613.943976	124.534629	472.336537	146.8744	390.086978	0	0	0	0	30.19	350.94	144.09	324.44
299.196659	614.852972	123.024619	470.859943	148.075486	389.999966	0	0	0	0	34.44	350.3	145.34	323.98
297.772948	615.170963	123.024619	469.13725	150.876867	389.325943	0	0	0	0	37	349.64	147.71	323.81
296.602255	615.375461	123.276287	467.168459	154.149599	388.817877	0	0	0	0	40.96	349.19	150.53	323.52
294.431563	615.988955	124.534629	464.46137	159.026995	387.560708	0	0	0	0	45.91	347.47	155.68	322.72
293.052034	616.193453	126.044639	461.754282	164.931211	386.303539	0	0	0	0	51.59	345.94	161.36	321.77
291.590178	616.39795	127.55465	459.78549	170.578722	384.797394	0	0	0	0	57.77	345.07	167.12	320.52
290.419486	616.39795	130.63079	457.009719	177.766463	383.293297	0	0	0	0	64.28	344.17	175.097807	319.711571
289.166467	616.39795	135.165936	454.644502	184.684089	382.040225	0	0	0	0	71.11	343.24	181.758055	318.996431
288.331121	616.39795	139.701082	452.870589	192.39865	380.785104	0	0	0	0	78.48	342.6	189.098472	318.135871
287.995774	616.39795	144.236228	450.801023	199.843096	379.027935	0	0	0	0	85.91	341.48	196.158676	317.12989
287.913447	616.306946	148.379484	449.182382	208.300952	377.272814	0	0	0	0	94.56	340.28	204.739022	316.27531
287.331121	616.511444	152.621598	446.935421	217.299039	374.5095	0	0	0	0	102.78	338.11	212.819368	314.69961
286.204611	616.39795	159.161524	443.614342	227.297125	372.250283	0	0	0	0	113.54	335.68	222.407924	312.692004
286.078101	616.306946	167.115487	440.003165	237.065327	369.986969	0	0	0	0	123.86	332.61	230.905004	310.616725
284.951592	616.193453	176.284593	437.405369	247.293298	366.976727	0	0	0	0	133.94	329.78	241.551565	307.598139
283.907409	615.988955	185.657229	435.335804	256.783633	364.590067	0	0	0	0	141.7	326.47	250.391057	304.768214
282.116245	616.488955	196.843922	433.583629	269.668684	361.682397	0	0	0	0	152.86	322.84	262.14365	301.626951
280.198572	617.193453	207.332959	432.331455	280.282837	359.695464	0	0	0	0	164.13	320.93	275.034698	299.674349
278.38115	619.162219	217.791993	431.867224	291.871781	358.108917	0	0	0	0	175.1	319.37	288.575228	297.853718
276.492031	619.955021	230.038956	431.388187	304.156062	357.428968	0	0	0	0	186.17	317.98	302.056708	296.53633
273.79329	620.219288	242.775797	432.585781	315.281449	357.202318	0	0	0	0	197.28	317.65	313.660349	296.227879
271.634297	620.483555	256.002516	434.980968	327.56573	358.108917	0	0	0	0	208.69	318.18	324.602053	296.164029
269.475304	620.219288	269.964053	439.052787	338.691117	359.695464	0	0	0	0	220.85	319.01	337.421609	296.164029
266.506689	619.690753	284.17053	443.124605	351.525841	362.240914	0	0	0	0	233.68	321.61	351.403103	297.254406
263.577822	619.662219	299.189376	448.680259	363.905341	364.962139	0	0	0	0	246.4	324.89	364.013838	300.653234
259.220088	619.162219	315.298873	457.501935	377.508981	370.414021	0	0	0	0	259.13	330.04	376.502427	305.541266
