"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
316.096236	269.701573	219.684023	288.498474	235.273686	331.899277	0	0	0	0	193.682525	359.676824	235.860594	358.062834
315.92	269.63	220.179444	288.343493	237.729445	331.487375	0	0	0	0	195.84	359.78	238.19	357.93
315.96	269.76	219.844584	289.378552	239.958067	331.487375	0	0	0	0	197.73	359.84	240.36	357.93
315.99	269.84	220.018883	290.413611	242.968366	332.062097	0	0	0	0	201	359.39	242.96	357.98
315.89	269.92	220.184023	292.311218	248.429874	331.496626	0	0	0	0	205.21	358.07	248.22	357.51
315.69	270.03	222.000565	294.726355	252.954143	330.789787	0	0	0	0	210.72	357.95	252.31	356.79
315.86	270.01	223.642352	299.5127	258.277994	331.920729	0	0	0	0	216.51	358.36	256.97	356.88
315.47	269.96	226.726294	304.685372	264.601846	332.768935	0	0	0	0	223.43	359.11	262.41	357.3
314.91	269.84	231.866198	310.892579	271.425697	333.617142	0	0	0	0	230.54	360.63	269.75	358.07
314.98	269.98	236.386926	316.323101	280.417541	334.748084	0	0	0	0	238.46	362.19	279.16	359.09
315.09	270.04	245.474762	321.4259	290.325409	334.413335	0	0	0	0	246.71	362.88	288.78	360.41
315.49	269.95	252.006399	326.555382	300.454996	334.413335	0	0	0	0	255.87	363.68	298.89	361.47
315.2	269.82	261.730429	329.912306	311.96589	335.168148	0	0	0	0	265.67	364.76	309.44	362.37
315.03	269.78	271.237404	334.285679	321.745764	335.579256	0	0	0	0	275.07	365.83	319.25	363.25
314.82	269.59	282.000968	335.189467	332.467648	336.501368	0	0	0	0	284.84	366.82	328.13	364.37
315	268.85	292.534299	337.755266	342.560132	337.897357	0	0	0	0	294.95	368.25	337.21	365.97
314.96	268.4	304.695925	339.853965	353.652616	340.534225	0	0	0	0	305.04	370.6	347.24	367.65
315.14	266.97	315.985846	341.790652	364.19127	343.291533	0	0	0	0	317.94	373.07	356.54	369.8
315.038146	266.556663	326.775766	343.485563	373.995278	346.703951	0	0	0	0	330.24	374.66	365.78	372.62
314.08	266.05	338.303961	347.38849	384.664713	350.116369	0	0	0	0	341.1	377.05	377.26	376.21
313.88	265.46	345.764054	349.527355	391.829868	353.1607	0	0	0	0	350.95	379.9	385.88	378.62
314.04	265.03	352.050664	350.750103	397.789443	354.908744	0	0	0	0	357.45	381.08	392.41	379.98
313.38	264.99	354.960876	350.889568	401.782741	354.805845	0	0	0	0	362	380.61	396.45	379.77
313.07	264.92	356.623855	350.052778	403.888623	354.087865	0	0	0	0	364.8	379.54	398.72	379.56
312.56	264.95	356.901018	349.273848	404.826591	353.439097	0	0	0	0	366.27	379.59	400.65	379.22
311.56	265.03	357.178181	349.552778	405.348516	353.369885	0	0	0	0	367.71	379.83	401.24	379
311.33	264.99	357.316762	349.552778	405.724452	353.582693	0	0	0	0	368.96	379.76	401.74	379.03
311.157763	263.666403	358.425414	349.552778	406.892366	354.375057	0	0	0	0	369.22	380.41	402.19	379.56
313.450292	264.587494	360.504581	350.255041	408.667917	354.839202	0	0	0	0	371.02	381.46	404.23	380.05
327.205467	259.79782	363.249369	351.269681	410.306493	355.748114	0	0	0	0	372.28	381.69	405.83	380.94
340.960641	251.692218	365.189672	352.28432	411.523705	355.657026	0	0	0	0	373.52	382.41	407.22	381.11
355.421209	250.218473	366.918035	352.219166	413.186614	355.79333	0	0	0	0	374.680451	382.423945	408.76	381.13
370.234474	248.560509	367.782217	352.654011	414.626675	355.202242	0	0	0	0	376.35	383.16	410.15	380.76
384.871391	248.560509	369.002369	352.79896	416.096705	356.792675	0	0	0	0	377.83	383.19	411.36	381.99
400.213701	249.850036	370.22252	352.219166	416.843887	356.837891	0	0	0	0	379.05	383.54	412.12	382.32
414.104829	251.149461	371.662823	349.320195	417.675342	357.610499	0	0	0	0	380.28	383.68	413.13	382.7
436.366742	257.065239	376.339702	341.217718	418.976827	357.746803	0	0	0	0	381.661546	383.698915	414.22	383
458.653888	262.661812	382.109126	330.621835	420.03113	357.519411	0	0	0	0	382.24	383.92	415.2	382.96
479.655238	270.497015	389.166611	322.924924	420.862584	357.428323	0	0	0	0	382.69	383.81	416.16	382.97
495.370501	287.510599	396.588277	318.011314	421.416887	358.064627	0	0	0	0	383.43	383.99	416.61	383.49
507.228471	298.808294	405.153974	315.967394	422.109766	357.655715	0	0	0	0	384.42	384.06	417.13	383.06
511.014364	304.971908	409.983095	315.162858	423.965554	357.246803	0	0	0	0	385.85	384.06	419.35	382.94
