"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"dorsal1_X"	"dorsal1_Y"	"dorsal2_X"	"dorsal2_Y"
345.18	661.85	205.554186	601.000107	220.898296	549.571462	0	0	0	0	144.761682	546.698418	216.461923	522.314441
343.31	662.98	204.811999	600.219329	223.18	549.31	0	0	0	0	147.44	546.57	218.61	521.69
341.53	663.07	205.30679	599.69881	226.83	548.55	0	0	0	0	150.9	545.77	222	521.16
340.05	664.03	206.048978	599.178291	231.72	548.33	0	0	0	0	155.97	544.52	226.65	520.68
338.72	664.9	206.791165	598.137253	237.18	547.11	0	0	0	0	161.84	543.44	231.47	519.4
337.74	666.11	208.028144	596.575697	243.84	545.47	0	0	0	0	168.68	541.34	237.78	518.26
337.6	666.3	210.744289	593.452583	250.73	543.09	0	0	0	0	176	539.39	244.21	516.27
336.245406	667.050881	214.955226	587.987135	258.85	540.35	0	0	0	0	184.02	536.51	252.14	513.93
335.6	667.83	221.140121	582.261427	268.34	535.78	0	0	0	0	193.58	532.67	261.25	509.98
335.13	668.36	230.293765	576.0152	279.61	531.34	0	0	0	0	205.07	528.84	272.38	505.85
335.01	668.17	239.694805	570.810011	292.37	526.94	0	0	0	0	217.71	524.5	285.2	501.97
334.986147	668.476248	251.569803	565.604822	304.88	522.24	0	0	0	0	230.85	520.34	297.79	497.88
334.899727	667.976248	262.950009	562.481709	317.59	518.27	0	0	0	0	243.2	515.78	312.040711	493.248466
334.779357	668.284704	274.330215	559.358595	329.571776	514.399359	0	0	0	0	254.96	511.96	324.852686	488.960973
334.192937	668.284704	286.9474	557.838077	342.026273	510.837857	0	0	0	0	267	508.89	337.486307	484.738756
334.106517	669.09316	299.564585	557.536779	354.768401	507.776354	0	0	0	0	278.61	506.25	350.061949	481.524109
333.020098	669.284704	313.18177	558.036779	366.448686	506.464282	0	0	0	0	291.22	503.91	363.34223	478.439553
332.933678	669.518527	326.28333	558.838077	379.403183	505.589567	0	0	0	0	303.94	502.83	375.723845	477.000093
331.433678	670.826982	340.137494	560.920152	391.778044	506.177471	0	0	0	0	317.26	503.55	388.88	476.82
330.174419	671.36926	353.507284	565.344563	405.712899	509.075304	0	0	0	0	330.29	505.34	402.25	479.9
330.967629	671.677716	364.124469	569.248455	419.233558	513.429351	0	0	0	0	343.09	506.55	415.9	483.02
330.674419	671.677716	375.741654	572.392087	431.611209	514.429351	0	0	0	0	355.58	507.62	429.21	484.42
330.087999	671.986172	385.895298	574.213903	441.362757	514.702016	0	0	0	0	366.19	508.1	440.03	484.79
329.20837	672.603083	392.311606	573.433906	448.253321	513.934957	0	0	0	0	372.96	507.34	446.93	484.65
329.50158	672.603083	395.555013	571.021854	452.350413	513.934957	0	0	0	0	377.116997	506.946442	452.32	484.5
324.637383	673.794627	395.628325	570.059545	454.026496	513.743192	0	0	0	0	377.885444	506.299213	453.27	484.55
319.446026	673.603083	394.164981	568.353519	453.654033	513.167897	0	0	0	0	378.123304	506.339069	452.71	484.26
315.807138	673.177716	394.664981	565.928903	452.909107	513.167897	0	0	0	0	378.04	506	452.87	483.67
310.322571	670.443893	395.323341	563.979158	452.536645	513.167897	0	0	0	0	377.98	505.92	453.01	483.8
298.421339	662.115591	396.750029	560.785696	453.28157	512.592603	0	0	0	0	378	505.91	453.06	483.36
304.285535	638.981418	398.445045	558.541978	453.095339	511.633779	0	0	0	0	377.97	505.87	453.05	482.96
320.118865	631.270027	399.103405	557.104798	452.913735	511.695949	0	0	0	0	377.97	505.99	452.94	482.89
336.970714	624.792458	399.761765	556.142489	452.658605	511.695949	0	0	0	0	378	506.03	452.93	482.89
353.544785	620.474079	399.95678	555.923899	452.658605	512.221371	0	0	0	0	378	506.02	452.97	482.39
370.378116	617.389523	400.346812	555.205309	452.658605	512.221371	0	0	0	0	378.01	506.03	452.98	481.92
383.456183	614.387279	401.310156	554.730437	452.882954	512.484082	0	0	0	0	378	506.07	453.02	481.9
401.284009	611.654173	402.968516	554.192745	452.862432	512.746792	0	0	0	0	378.04	506.07	453.01	482.51
418.824701	607.441006	403.626876	554.449027	450.617563	512.746792	0	0	0	0	378.02	506.06	453.01	482.49
431.761472	601.303418	404.420135	553.9017	451.127823	513.009503	0	0	0	0	378.01	506.53	453.01	482.44
446.981203	593.297868	404.935929	553.687977	451.372693	514.034925	0	0	0	0	378	506.55	452.99	482.49
461.186285	587.76139	405.304118	553.968721	451.893214	514.585768	0	0	0	0	378.01	507.05	453.49	482.04
477.927988	584.292318	406.51453	555.369346	452.679126	514.61119	0	0	0	0	378.01	507.06	453.57	482
493.155043	582.123801	408.868832	556.220282	454.189387	514.848479	0	0	0	0	378.03	506.55	454.03	481.99
510.650409	582.157505	411.437162	557.170594	454.189387	515.11119	0	0	0	0	378.02	507.05	454.02	482.49
529.167748	581.35695	415.931738	557.620907	454.444517	514.848479	0	0	0	0	378.02	507.04	454	482
