Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
FS_00l_pb06f01,FS,0,pb06,15,14,n,y,n,y,0.03845485,0.55,0.41,0.445,0.325,0.745454545,0.809090909,0.4,0.409090909,0.590909091,8.47
FS_00l_pb06f03,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.7,0.37,0.585,0.23,0.528571429,0.835714286,0.164285714,0.671428571,0.328571429,
FS_00l_pb06f04,FS,0,pb06,15,14,y,y,n,n,0.03845485,0.66,0.49,0.49,0.34,0.742424242,0.742424242,0.257575758,0.484848485,0.515151515,8.76
FS_00l_pb06f05,FS,0,pb06,15,14,y,y,n,n,0.03845485,0.61,0.45,0.47,0.31,0.737704918,0.770491803,0.278688525,0.491803279,0.508196721,10.77
FS_00l_pb06f06,FS,0,pb06,15,14,n,y,n,n,0.03845485,0.45,0.33,0.32,0.21,0.733333333,0.711111111,0.177777778,0.533333333,0.466666667,7.87
FS_00l_pb06f10,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.82,0.6,0.69,0.43,0.731707317,0.841463415,0.365853659,0.475609756,0.524390244,
FS_00l_pb06f11,FS,0,pb06,15,14,y,y,n,y,0.03845485,0.67,0.475,0.59,0.31,0.708955224,0.880597015,0.343283582,0.537313433,0.462686567,13.56
FS_00l_pb07f02,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.605,0.505,0.45,0.385,0.834710744,0.743801653,0.380165289,0.363636364,0.636363636,
FS_00l_pb07f03,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.69,0.5,0.52,0.37,0.724637681,0.753623188,0.289855072,0.463768116,0.536231884,
FS_00l_pb07f04,FS,0,pb07,8,13,y,y,n,y,0.035641356,0.5,0.39,0.37,0.27,0.78,0.74,0.28,0.46,0.54,
FS_00l_pb07f05,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.84,0.67,0.6,0.49,0.797619048,0.714285714,0.297619048,0.416666667,0.583333333,7.51
FS_00l_pb07f06,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.68,0.47,0.57,0.28,0.691176471,0.838235294,0.25,0.588235294,0.411764706,5.92
